company	title	city	language	visa_hint	url	source	posted_if_known
SumUp	Senior Fullstack Engineer - Partnership & Enterprise	Berlin	EN	unknown	https://www.sumup.com/careers/positions/berlin-germany/engineering/senior-fullstack-engineer-partnership-enterprise/8654697002/	SumUp careers	
SumUp	Senior Full Stack Engineer - Sidekick	Berlin	EN	unknown	https://www.sumup.com/careers/positions/berlin-germany/engineering/senior-full-stack-engineer-sidekick/8576667002/	SumUp careers	
SumUp	Senior Full-Stack Engineer - SuperApp	Berlin	EN	unknown	https://job-boards.greenhouse.io/sumup/jobs/8529500002	SumUp careers	
SumUp	Full Stack Engineer - Billings & Subscriptions	Berlin	EN	unknown	https://www.sumup.com/careers/positions/berlin-germany/engineering/full-stack-engineer-billings-subscriptions/8529496002/	SumUp careers	
LivePerson	Senior Full Stack Software Engineer	Berlin / Remote-DE	EN	unknown	https://job-boards.greenhouse.io/liveperson/jobs/8094375	Greenhouse	
Parloa	Senior Frontend Platform Engineer (f/m/d)	Berlin (onsite)	EN	unknown	https://job-boards.eu.greenhouse.io/parloa/jobs/4936108101	Greenhouse	posted ~12 Aug 2026
ABOUT YOU	Lead Frontend Engineer (all genders)	Hamburg / Berlin	EN	unknown	https://jobs.smartrecruiters.com/ABOUTYOUGmbH/744000144353580-lead-frontend-engineer-all-genders-	SmartRecruiters	
ABOUT YOU	Staff Frontend Engineer (all genders)	Hamburg / Berlin	EN	unknown	https://jobs.smartrecruiters.com/ABOUTYOUGmbH/744000144352635-staff-frontend-engineer-all-genders-	SmartRecruiters	
ABOUT YOU	Senior Frontend Engineer (all genders)	Hamburg / Berlin	EN	unknown	https://jobs.smartrecruiters.com/ABOUTYOUGmbH/744000141445390-senior-frontend-engineer-all-genders-	SmartRecruiters	
ABOUT YOU	Senior Frontend Engineer - Panels (all genders)	Hamburg	EN	unknown	https://jobs.smartrecruiters.com/ABOUTYOUGmbH/744000142621705-senior-frontend-engineer-panels-all-genders-	SmartRecruiters	
ABOUT YOU	Senior Fullstack Engineer - Frontend & UI/UX (all genders)	Hamburg	EN	unknown	https://jobs.smartrecruiters.com/ABOUTYOUGmbH/744000144144399-senior-fullstack-engineer-frontend-ui-ux-all-genders-	SmartRecruiters	
ABOUT YOU	Senior Fullstack Engineer (all genders) - Purchasing Interface	Hamburg	EN	unknown	https://jobs.smartrecruiters.com/ABOUTYOUGmbH/744000144712329-senior-fullstack-engineer-all-genders-purchasing-interface	SmartRecruiters	
ABOUT YOU	Staff Fullstack Engineer - Project Delivery Add-ons (all genders)	Hamburg / Berlin	EN	unknown	https://jobs.smartrecruiters.com/ABOUTYOUGmbH/744000144353222-staff-fullstack-engineer-project-delivery-add-ons-all-genders-	SmartRecruiters	
ABOUT YOU	Lead Fullstack Engineer - Project Delivery Add-ons (all genders)	Hamburg / Berlin	EN	unknown	https://jobs.smartrecruiters.com/ABOUTYOUGmbH/744000144352257-lead-fullstack-engineer-project-delivery-add-ons-all-genders-	SmartRecruiters	
Redcare Pharmacy	Senior Frontend Engineer, Retail Media / AdTech Solutions (m/f/d)	Berlin / Remote-DE	EN	unknown	https://jobs.smartrecruiters.com/Redcare-Pharmacy/744000141742248-senior-frontend-engineer-retail-media-adtech-solutions-m-f-d-	SmartRecruiters	posted ~05 Aug 2026
Redcare Pharmacy	Senior Engineer, Full Stack (Retail Media / AdTech Solutions) (m/f/d)	Cologne	EN	unknown	https://jobs.smartrecruiters.com/Redcare-Pharmacy/744000141426362-senior-engineer-full-stack-retail-media-adtech-solutions-m-f-d-	SmartRecruiters	posted ~04 Aug 2026
Redcare Pharmacy	Senior Frontend Engineer (m/f/d)	Cologne	EN	unknown	https://jobs.smartrecruiters.com/Redcare-Pharmacy/744000140259080-senior-frontend-engineer-m-f-d-	SmartRecruiters	posted ~28 Jul 2026
Redcare Pharmacy	Senior Fullstack Engineer (m/f/d)	Berlin	EN	unknown	https://jobs.smartrecruiters.com/Redcare-Pharmacy/744000134715389-senior-fullstack-engineer-m-f-d-	SmartRecruiters	posted ~29 Jun 2026
Scalable Capital	(Senior) Frontend Engineer - AI (m/f/x)	Berlin	EN	yes	https://jobs.smartrecruiters.com/ScalableGmbH/744000136237720--senior-frontend-engineer-ai-m-f-x-	SmartRecruiters	
Scalable Capital	(Senior) Frontend Engineer - AI (m/f/x)	Munich	EN	yes	https://jobs.smartrecruiters.com/ScalableGmbH/744000140438374--senior-frontend-engineer-ai-m-f-x-	SmartRecruiters	
Scalable Capital	(Senior) Full-Stack Engineer (TypeScript + Kotlin/Java) (m/f/x)	Munich	EN	unknown	https://jobs.smartrecruiters.com/ScalableGmbH/744000143440719--senior-full-stack-engineer-typescript-kotlin-java-m-f-x-	SmartRecruiters	
Caspar Health	Senior Frontend Engineer	Berlin / Remote-DE	EN	unknown	https://app.welcometothejungle.com/jobs/ugT8GL2u	Welcome to the Jungle	
DATATRONiQ	Senior Frontend Developer – TypeScript, React	Germany	EN	unknown	https://berlinstartupjobs.com/engineering/senior-fullstack-developer-typescript-javascript-node-js-datatroniq/	Berlin Startup Jobs	
Buena	Senior Software Engineer (m/f/d) (TS/React/Node)	Berlin	EN	unknown	https://berlinstartupjobs.com/engineering/senior-software-engineer-m-f-d-buena/	Berlin Startup Jobs	
20° GmbH	(Senior) Full-Stack Engineer (AI-Assisted 3D / CAD / BIM)	Berlin	EN	unknown	https://berlinstartupjobs.com/engineering/senior-full-stack-engineer-ai-assisted-3d-cad-bim-development-20-gmbh/	Berlin Startup Jobs	
Delivery Hero	Senior Engineer, Reactjs - (Logistics, AI Autopilot)	Berlin	EN	unknown	https://careers.deliveryhero.com/job/senior-engineer-reactjs-logistics-ai-autopilot-in-berlin-germany-jid-5777	Delivery Hero careers	
Delivery Hero	Staff Software Engineer (React/TypeScript) - Vendor Growth	Berlin	EN	unknown	https://careers.deliveryhero.com/job/staff-software-engineer-react-typescript-vendor-growth-all-genders-in-berlin-germany-jid-2788	Delivery Hero careers	
Delivery Hero	Senior Frontend Developer (React) - Vendor Growth	Berlin	EN	unknown	https://careers.deliveryhero.com/job/senior-frontend-developer-react-vendor-growth-all-genders-in-berlin-germany-jid-2590	Delivery Hero careers	
Delivery Hero	Senior Software Engineer, ReactJS - (Logistics, Service Experience)	Berlin	EN	unknown	https://careers.deliveryhero.com/job/senior-software-engineer-reactjs-logistics-service-experience-in-berlin-germany-jid-9213	Delivery Hero careers	
Langfuse	Senior Software Engineer (SDK)	Berlin / EU	EN	unknown	https://jobs.ashbyhq.com/langfuse/891eda0a-a9f6-45e6-8750-71874db8cc11	Ashby	
Langdock	(Senior) Product Engineer (m/f/d)	Berlin	EN	unknown	https://jobs.ashbyhq.com/langdock/ba8e2d17-818f-4ffb-b5ee-05d97b59a596	Ashby	
Langdock	Design Engineer (m/f/d)	Berlin	EN	unknown	https://jobs.ashbyhq.com/langdock/b443b7ae-975e-42da-b515-58fcf9870839	Ashby	
Trading212	Staff React/React Native Engineer	Berlin (also EU hubs)	EN	unknown	https://jobs.ashbyhq.com/trading212/0f9f4f94-c040-4bff-9639-0469dc20926c	Ashby	
Trading212	Senior React/React Native Engineer	Berlin (also EU hubs)	EN	unknown	https://jobs.ashbyhq.com/trading212/0a65135a-4205-4026-983f-b5006008cd46	Ashby	
SAP	Senior Frontend & Agent Engineer (f/m/d) - Joule Work Desktop	Walldorf	EN	unknown	https://jobs.sap.com/job/Walldorf-Senior-Frontend-&-Agent-Engineer-%28fmd%29-Joule-Work-Desktop-69190/1417871633/	SAP careers	
TextCortex AI	Senior Frontend Engineer at TextCortex AI	Berlin (onsite; reloc. support)	EN	yes	https://join.com/companies/textcortex/16575226-senior-frontend-engineer-at-textcortex-ai	JOIN	
mika	Senior Full Stack Developer React/FastAPI/Django (Frontend-Affinity) (m/f/d)	Berlin (hybrid/remote OK)	EN	unknown	https://join.com/companies/getmikade/16584962-senior-full-stack-developer-react-fastapi-django-frontend-affinity-m-f-d	JOIN	
Overfly	Senior Full Stack & AI Engineer (m/w/d)	Berlin (hybrid)	EN	unknown	https://join.com/companies/overf/16539932-senior-full-stack-and-ai-engineer-m-w-d	JOIN	
Parloa	Senior Software Engineer	Berlin (onsite)	EN	unknown	https://job-boards.eu.greenhouse.io/parloa/jobs/4802720101	Greenhouse	
GetYourGuide	Senior Software Engineer, GraphQL - API Platform	Berlin	EN	unknown	https://job-boards.greenhouse.io/getyourguide/jobs/6986390	Greenhouse	
marta	Senior Full Stack Engineer (TS/Node/React)	Berlin (hybrid)	EN	unknown	https://app.welcometothejungle.com/jobs/xnkL8LMB	Welcome to the Jungle	
LiveEO	Senior Full Stack Engineer	Berlin (Kreuzberg)	EN	unknown	https://app.welcometothejungle.com/jobs/DsItb-YU	Welcome to the Jungle	
Taktile	Senior Full-Stack Engineer (Web SDK)	Berlin / London (hybrid)	EN	unknown	https://app.welcometothejungle.com/jobs/jSGOboq3	Welcome to the Jungle	
1KOMMA5°	Senior Full-Stack Software Engineer	Berlin / Munich / Hamburg / Remote-DE	EN	unknown	https://app.welcometothejungle.com/jobs/b8QvCTDk	Welcome to the Jungle	
Kombo	Product Engineer (Full Stack)	Berlin (onsite)	EN	unknown	https://jobs.ashbyhq.com/Kombo/ee1b90f2-45c6-44db-acbb-edc099a8968b	Ashby	
Eye Security	Senior Software Engineer (m/f/x)	Berlin (hybrid)	EN	unknown	https://jobs.ashbyhq.com/eye-security/83c990d6-cdc6-4406-9f77-bfa9193d494e	Ashby	
Voyfai	Senior Software Engineer - Fullstack (m/f/d)	Berlin (hybrid)	EN	unknown	https://jobs.ashbyhq.com/voyfai/b0a1f97b-e22a-4c80-8599-dd4a468f3dfa	Ashby	
Voyfai	Senior AI Product Engineer (m/f/d)	Berlin (hybrid)	EN	unknown	https://jobs.ashbyhq.com/voyfai/490f6746-8811-4f6d-806b-fd22f5d78b2e	Ashby	
Kyan Health	Senior Full Stack Engineer (f/m/d)	Berlin / Remote	EN	unknown	https://jobs.ashbyhq.com/kyanhealth/bfa3fc0d-f4be-4e95-a18a-c29759507c65	Ashby	
Taktile	Senior Full-Stack Engineer - Platform team	Berlin (hybrid)	EN	unknown	https://jobs.ashbyhq.com/taktile/050f12b4-23ed-400d-bdd1-ddbc8a8d0ac5	Ashby	
Kombo	Senior Product Engineer (Full Stack)	Berlin (onsite)	EN	unknown	https://jobs.ashbyhq.com/kombo/221b2f22-ead1-48e1-b0ca-9a7c6110d1a4	Ashby	
n8n	Sr AI Engineer (TS/Vue/NodeJS)	Berlin / Europe remote	EN	yes	https://jobs.ashbyhq.com/n8n/d195a389-6af5-4b95-82e5-2258953c7297	Ashby	
Peec AI	Senior Design Engineer	Berlin (onsite)	EN	unknown	https://jobs.ashbyhq.com/peec/f3889600-365d-4053-8d1c-56eae41b20fa	Ashby	
Scalable Capital	Senior Frontend Engineer	Berlin	EN	yes	https://app.welcometothejungle.com/jobs/EImPdtpJ	Welcome to the Jungle	
